A,B,Step,InitCondNum,State
0,1,37,2,01
0,1,38,2,01
0,1,39,2,01
0,0,40,2,00
1,0,41,2,10
1,0,42,2,10
0,0,43,2,00
1,0,44,2,10
0,0,45,2,00
0,1,46,2,01
0,1,47,2,01
0,0,48,2,00
0,1,49,2,01
0,1,50,2,01
0,0,51,2,00
1,0,52,2,10
0,0,53,2,00
1,0,54,2,10
0,0,55,2,00
0,1,56,2,01
0,1,57,2,01
0,1,58,2,01
0,1,59,2,01
0,0,60,2,00
0,1,61,2,01
0,1,62,2,01
0,0,63,2,00
1,0,64,2,10
0,0,65,2,00
1,0,66,2,10
1,0,67,2,10
1,0,68,2,10
1,0,69,2,10
1,0,70,2,10
1,0,71,2,10
1,0,72,2,10
1,0,73,2,10
1,0,74,2,10
1,0,75,2,10
0,0,76,2,00
1,0,77,2,10
1,0,78,2,10
1,0,79,2,10
1,0,80,2,10
0,0,81,2,00
0,1,82,2,01
0,0,83,2,00
0,1,84,2,01
0,0,85,2,00
1,0,86,2,10
1,0,87,2,10
1,0,88,2,10
0,0,89,2,00
0,1,90,2,01
0,1,91,2,01
0,1,92,2,01
0,0,93,2,00
0,1,94,2,01
0,0,95,2,00
1,0,96,2,10
1,0,97,2,10
1,0,98,2,10
1,0,99,2,10
0,0,100,2,00
1,0,101,2,10
1,1,1,2,11
0,1,2,2,01
0,1,3,2,01
0,0,4,2,00
0,1,5,2,01
0,1,6,2,01
0,1,7,2,01
0,1,8,2,01
0,1,9,2,01
0,1,10,2,01
0,0,11,2,00
0,1,12,2,01
0,1,13,2,01
0,1,14,2,01
0,1,15,2,01
0,1,16,2,01
0,1,17,2,01
0,1,18,2,01
0,0,19,2,00
0,1,20,2,01
0,0,21,2,00
0,1,22,2,01
0,1,23,2,01
0,0,24,2,00
0,1,25,2,01
0,1,26,2,01
0,0,27,2,00
1,0,28,2,10
1,0,29,2,10
0,0,30,2,00
1,0,31,2,10
1,0,32,2,10
1,0,33,2,10
1,0,34,2,10
0,0,35,2,00
1,0,36,2,10
1,0,37,2,10
0,0,38,2,00
1,0,39,2,10
1,0,40,2,10
0,0,41,2,00
1,0,42,2,10
0,0,43,2,00
0,1,44,2,01
0,0,45,2,00
1,0,46,2,10
0,0,47,2,00
0,1,48,2,01
0,0,49,2,00
0,1,50,2,01
0,0,51,2,00
1,0,52,2,10
1,0,53,2,10
0,0,54,2,00
0,1,55,2,01
0,0,56,2,00
1,0,57,2,10
1,0,58,2,10
0,0,59,2,00
0,1,60,2,01
0,0,61,2,00
0,1,62,2,01
0,1,63,2,01
